Country,Year,Age-standardised prevalence of ever-partnered women aged 15 years and older who experienced physical or sexual violence by a current or former intimate partner in the last 12 months (%)
Armenia,1990,4.41
Armenia,1991,4.38
Armenia,1992,4.36
Armenia,1993,4.33
Armenia,1994,4.30
Armenia,1995,4.28
Armenia,1996,4.26
Armenia,1997,4.24
Armenia,1998,4.23
Armenia,1999,4.22
Armenia,2000,4.21
Armenia,2001,4.20
Armenia,2002,4.19
Armenia,2003,4.18
Armenia,2004,4.17
Armenia,2005,4.15
Armenia,2006,4.14
Armenia,2007,4.13
Armenia,2008,4.12
Armenia,2009,4.10
Armenia,2010,4.09
Armenia,2011,4.08
Armenia,2012,4.08
Armenia,2013,4.07
Armenia,2014,4.07
Armenia,2015,4.07
Armenia,2016,4.07
Armenia,2017,4.07
Armenia,2018,4.09
Armenia,2019,4.10
Azerbaijan,1990,11.27
Azerbaijan,1991,11.21
Azerbaijan,1992,11.14
Azerbaijan,1993,11.07
Azerbaijan,1994,11.00
Azerbaijan,1995,10.93
Azerbaijan,1996,10.86
Azerbaijan,1997,10.79
Azerbaijan,1998,10.74
Azerbaijan,1999,10.69
Azerbaijan,2000,10.63
Azerbaijan,2001,10.58
Azerbaijan,2002,10.54
Azerbaijan,2003,10.50
Azerbaijan,2004,10.47
Azerbaijan,2005,10.45
Azerbaijan,2006,10.45
Azerbaijan,2007,10.46
Azerbaijan,2008,10.48
Azerbaijan,2009,10.51
Azerbaijan,2010,10.55
Azerbaijan,2011,10.60
Azerbaijan,2012,10.65
Azerbaijan,2013,10.71
Azerbaijan,2014,10.77
Azerbaijan,2015,10.83
Azerbaijan,2016,10.88
Azerbaijan,2017,10.94
Azerbaijan,2018,11.00
Azerbaijan,2019,11.07
Georgia,1990,2.35
Georgia,1991,2.33
Georgia,1992,2.31
Georgia,1993,2.29
Georgia,1994,2.27
Georgia,1995,2.25
Georgia,1996,2.22
Georgia,1997,2.20
Georgia,1998,2.18
Georgia,1999,2.15
Georgia,2000,2.14
Georgia,2001,2.12
Georgia,2002,2.10
Georgia,2003,2.08
Georgia,2004,2.07
Georgia,2005,2.05
Georgia,2006,2.04
Georgia,2007,2.04
Georgia,2008,2.03
Georgia,2009,2.03
Georgia,2010,2.03
Georgia,2011,2.03
Georgia,2012,2.04
Georgia,2013,2.05
Georgia,2014,2.06
Georgia,2015,2.07
Georgia,2016,2.08
Georgia,2017,2.09
Georgia,2018,2.10
Georgia,2019,2.11
Cyprus,1990,4.85
Cyprus,1991,4.81
Cyprus,1992,4.77
Cyprus,1993,4.72
Cyprus,1994,4.68
Cyprus,1995,4.64
Cyprus,1996,4.60
Cyprus,1997,4.56
Cyprus,1998,4.52
Cyprus,1999,4.48
Cyprus,2000,4.44
Cyprus,2001,4.39
Cyprus,2002,4.35
Cyprus,2003,4.30
Cyprus,2004,4.25
Cyprus,2005,4.21
Cyprus,2006,4.16
Cyprus,2007,4.13
Cyprus,2008,4.09
Cyprus,2009,4.07
Cyprus,2010,4.05
Cyprus,2011,4.04
Cyprus,2012,4.03
Cyprus,2013,4.04
Cyprus,2014,4.05
Cyprus,2015,4.07
Cyprus,2016,4.09
Cyprus,2017,4.12
Cyprus,2018,4.15
Cyprus,2019,4.19
Israel,1990,6.59
Israel,1991,6.56
Israel,1992,6.53
Israel,1993,6.51
Israel,1994,6.48
Israel,1995,6.47
Israel,1996,6.47
Israel,1997,6.47
Israel,1998,6.47
Israel,1999,6.47
Israel,2000,6.47
Israel,2001,6.47
Israel,2002,6.46
Israel,2003,6.45
Israel,2004,6.45
Israel,2005,6.45
Israel,2006,6.45
Israel,2007,6.46
Israel,2008,6.46
Israel,2009,6.47
Israel,2010,6.47
Israel,2011,6.48
Israel,2012,6.48
Israel,2013,6.49
Israel,2014,6.49
Israel,2015,6.49
Israel,2016,6.49
Israel,2017,6.51
Israel,2018,6.53
Israel,2019,6.56
Malta,1990,6.14
Malta,1991,6.09
Malta,1992,6.04
Malta,1993,6.00
